journal_key,year,doi,article_id,title,source_article_url,http_status,final_url,html_length,fetch_error,has_keyword_candidate_signal,meta_names_top,meta_keyword_candidate_fields,meta_keyword_candidate_values,n_jsonld_blocks,jsonld_keyword_paths,jsonld_keyword_snippets,keyword_like_class_id_inventory,n_keyword_like_snippets
arts_in_psychotherapy,2008,10.1016/j.aip.2008.06.002,10.1016/j.aip.2008.06.002,Book review,https://linkinghub.elsevier.com/retrieve/pii/S0197455608000555,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455608000555,2613,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2009,10.1016/s0197-4556(09)00119-1,10.1016/s0197-4556(09)00119-1,Contents and Authors Volume 36,https://linkinghub.elsevier.com/retrieve/pii/S0197455609001191,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455609001191,2643,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2010,10.1016/j.aip.2009.09.006,10.1016/j.aip.2009.09.006,Models of response to client anger in music therapy,https://linkinghub.elsevier.com/retrieve/pii/S0197455609001038,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455609001038,2664,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2014,10.1016/j.aip.2014.02.006,10.1016/j.aip.2014.02.006,Clients’ positive and negative experiences of experiential art therapy group process,https://linkinghub.elsevier.com/retrieve/pii/S0197455614000264,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455614000264,2703,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2019,10.1016/j.aip.2018.12.002,10.1016/j.aip.2018.12.002,Verbal affordances of active and receptive music therapy methods in major depressive disorder and schizophrenia-spectrum disorder,https://linkinghub.elsevier.com/retrieve/pii/S0197455617301478,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455617301478,2742,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2019,10.1016/j.aip.2019.101578,10.1016/j.aip.2019.101578,Evaluating art therapy processes with children diagnosed with Autism Spectrum Disorders: Development and testing of two observation instruments for evaluating children’s and therapists’ behaviour,https://linkinghub.elsevier.com/retrieve/pii/S0197455618302326,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455618302326,2820,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2022,10.1016/j.aip.2022.101897,10.1016/j.aip.2022.101897,Experiencing empathy in music therapy practice: A heuristics study,https://linkinghub.elsevier.com/retrieve/pii/S0197455622000181,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455622000181,2679,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
arts_in_psychotherapy,2024,10.1016/j.aip.2024.102225,10.1016/j.aip.2024.102225,Identity development of Arab drama therapists: The role of ethnic boundary work,https://linkinghub.elsevier.com/retrieve/pii/S0197455624001102,200,https://linkinghub.elsevier.com/retrieve/pii/S0197455624001102,2692,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
behaviour_research_and_therapy,2007,10.1016/j.brat.2007.04.007,10.1016/j.brat.2007.04.007,An open trial of cognitive therapy for chronic insomnia,https://linkinghub.elsevier.com/retrieve/pii/S0005796707000964,200,https://linkinghub.elsevier.com/retrieve/pii/S0005796707000964,2668,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
behaviour_research_and_therapy,2008,10.1016/j.brat.2008.03.005,10.1016/j.brat.2008.03.005,Thought–action fusion: A comprehensive analysis using structural equation modeling,https://linkinghub.elsevier.com/retrieve/pii/S0005796708000673,200,https://linkinghub.elsevier.com/retrieve/pii/S0005796708000673,2701,,False,tdm-reservation:1 | tdm-policy:1,,,0,,,,0
